time,open,high,low,close,volume,volCcy
2022-06-30 12:00:00,20076.5,20094,20005.8,20053.4,248202,2482.02
2022-06-30 13:00:00,20053.4,20070.2,19962.8,20003.4,350773,3507.73
2022-06-30 14:00:00,20003.4,20032.7,19336.5,19412.9,1943459,19434.59
2022-06-30 15:00:00,19415.2,19470.4,19308,19431.2,876703,8767.03
2022-06-30 16:00:00,19430.6,19437.5,19117,19235.3,1031218,10312.18
2022-06-30 17:00:00,19234.3,19256,18909,19149.9,1894948,18949.48
2022-06-30 18:00:00,19150,19169.5,18978,19103.5,643497,6434.97
2022-06-30 19:00:00,19103.5,19170.5,19011.4,19097.8,567024,5670.24
2022-06-30 20:00:00,19096,19333,19054,19201.2,1004933,10049.33
2022-06-30 21:00:00,19201.2,19264.9,18725.9,18864.9,1720172,17201.72
2022-06-30 22:00:00,18865,19152,18850.8,19116.1,946223,9462.23
2022-06-30 23:00:00,19115.3,19253,19085.3,19142.6,702756,7027.56
2022-07-01 00:00:00,19142.7,19288,19064.3,19141.5,693880,6938.8
2022-07-01 01:00:00,19142.5,19217.1,19070,19099.7,271210,2712.1
2022-07-01 02:00:00,19102.4,19125,18961.4,18972.3,292847,2928.47
2022-07-01 03:00:00,18972.3,19048.8,18851,18930.3,462816,4628.16
2022-07-01 04:00:00,18930,19075.9,18598.9,18753.6,817051,8170.51
2022-07-01 05:00:00,18751.9,18966.9,18718.5,18821.7,503572,5035.72
2022-07-01 06:00:00,18821.7,18956.5,18737.5,18893.5,472894,4728.94
2022-07-01 07:00:00,18893.5,19980,18880.5,19941.6,2213135,22131.35
2022-07-01 08:00:00,19940.9,20979,19659.6,20295.8,3614568,36145.68
2022-07-01 09:00:00,20295.8,20480,20253.7,20413.4,1014076,10140.76
2022-07-01 10:00:00,20414.3,20560,20265,20300.5,706224,7062.24
2022-07-01 11:00:00,20300.5,20309.5,19688,19731.6,1616100,16161
2022-07-01 12:00:00,19733.2,19777,19368,19407.9,1660152,16601.52
2022-07-01 13:00:00,19408.1,19604.1,19309,19467.9,989305,9893.05
2022-07-01 14:00:00,19466.2,19493.9,19362,19401.9,461893,4618.93
2022-07-01 15:00:00,19401.8,19669.9,19334,19578.3,893174,8931.74
2022-07-01 16:00:00,19576.6,19826.4,19469.2,19522.5,1087388,10873.88
2022-07-01 17:00:00,19522.5,19562.8,19366,19425,694146,6941.46
2022-07-01 18:00:00,19426.3,19507.7,18952,19070.8,1311083,13110.83
2022-07-01 19:00:00,19070,19224.9,18971.5,19190.2,767058,7670.58
2022-07-01 20:00:00,19190.1,19348.7,19124.3,19286.6,622663,6226.63
2022-07-01 21:00:00,19285.4,19676.7,19200.5,19450,1482032,14820.32
2022-07-01 22:00:00,19450,19536.3,19286.6,19409.3,1003570,10035.7
2022-07-01 23:00:00,19409.4,19483.5,19207,19289,774534,7745.34
2022-07-02 00:00:00,19290.3,19472.1,19251.5,19347.3,514827,5148.27
2022-07-02 01:00:00,19346.7,19530.4,19324.2,19485.1,374662,3746.62
2022-07-02 02:00:00,19486.2,19544.3,19385.4,19437.3,264905,2649.05
2022-07-02 03:00:00,19438.5,19442.7,19273.1,19390.1,328311,3283.11
2022-07-02 04:00:00,19388.4,19700,19348.5,19432.1,607517,6075.17
2022-07-02 05:00:00,19433.5,19521.4,19336.3,19396.4,173190,1731.9
2022-07-02 06:00:00,19396.4,19419.4,19285.5,19297.1,262342,2623.42
2022-07-02 07:00:00,19296.2,19480.5,19215.5,19281.3,436570,4365.7
2022-07-02 08:00:00,19282,19392.2,19160,19177.5,529034,5290.34
2022-07-02 09:00:00,19177.6,19298.5,19136.8,19235.1,367727,3677.27
2022-07-02 10:00:00,19231.6,19294.4,19105,19198.1,527325,5273.25
2022-07-02 11:00:00,19197.2,19228.8,19066,19132.5,458067,4580.67
2022-07-02 12:00:00,19132.5,19244.4,19110.3,19198.5,325767,3257.67
2022-07-02 13:00:00,19198.5,19311.9,19180.7,19239.3,301672,3016.72
2022-07-02 14:00:00,19239.2,19283.8,19186,19217.9,198246,1982.46
2022-07-02 15:00:00,19217.9,19277.4,19112.1,19127.8,332657,3326.57
2022-07-02 16:00:00,19129.7,19197.6,19084.9,19117,314927,3149.27
2022-07-02 17:00:00,19117,19192.8,18976.6,19174,648641,6486.41
2022-07-02 18:00:00,19175,19288,19134.2,19244.7,586646,5866.46
2022-07-02 19:00:00,19244.6,19276.6,19161.2,19196.5,365743,3657.43
2022-07-02 20:00:00,19196.5,19456.4,19150,19343.7,1108424,11084.24
2022-07-02 21:00:00,19342.9,19346.6,19222.2,19268,390443,3904.43
2022-07-02 22:00:00,19269.2,19363.1,19255.9,19281.7,343724,3437.24
2022-07-02 23:00:00,19281.6,19300,19168.1,19231.7,407975,4079.75
2022-07-03 00:00:00,19231.7,19337,19187,19293.8,357933,3579.33
