time,open,high,low,close,volume,volCcy,MA5,MA10,MA60
2022/3/23 16:00,42614.6,44049.4,42030.2,43988,12556855,125568.55,,,
2022/3/24 16:00,43987.9,45090.1,43581.1,44339.9,12912653,129126.53,,,
2022/3/25 16:00,44339.9,44610.6,44012.9,44210.2,6058331,60583.31,,,
2022/3/26 16:00,44210.2,44959,44130,44861.5,5852778,58527.78,,,
2022/3/27 16:00,44861.5,47944,44657.3,47428.9,14084917,140849.17,44965.7,,
2022/3/28 16:00,47428.8,48195.2,46879,47440.3,9936846,99368.46,45656.16,,
2022/3/29 16:00,47443,47877.3,46510,47173.9,9657695,96576.95,46222.96,,
2022/3/30 16:00,47173.9,47693.1,46222,46459,9802468,98024.68,46672.72,,
2022/3/31 16:00,46460.2,46725.2,44207.4,46533.2,16683780,166837.8,47007.06,,
2022/4/1 16:00,46534.9,47259,45908.8,46301.5,9149930,91499.3,46781.58,45873.64,
2022/4/2 16:00,46301.4,46740.4,45528.6,46419.4,7381216,73812.16,46577.4,46116.78,
2022/4/3 16:00,46419.4,47464.5,45550,45643,10928243,109282.43,46271.22,46247.09,
2022/4/4 16:00,45644.9,47200,45074.2,45755,11471119,114711.19,46130.42,46401.57,
2022/4/5 16:00,45755,46188,43708.2,44178.7,12838732,128387.32,45659.52,46333.29,
2022/4/6 16:00,44178.7,44288,42716.6,43334.3,10561804,105618.04,45066.08,45923.83,
2022/4/7 16:00,43333,43985.4,42733.4,43658.1,8691268,86912.68,44513.82,45545.61,
2022/4/8 16:00,43658.1,43725.2,42100.9,42377.3,7943200,79432,43860.68,45065.95,
2022/4/9 16:00,42357.3,42888,42178.1,42745,4056033,40560.33,43258.68,44694.55,
2022/4/10 16:00,42745,43439.9,40538.9,40566.3,12839098,128390.98,42536.2,44097.86,
2022/4/11 16:00,40566.4,40899,39145,40189.2,15443751,154437.51,41907.18,43486.63,
2022/4/12 16:00,40189.1,41419.1,39251.2,41149.4,9666304,96663.04,41405.44,42959.63,
2022/4/13 16:00,41156.9,41570.7,39941.3,39985.3,7734356,77343.56,40927.04,42393.86,
2022/4/14 16:00,39983.9,40890.7,39546,40413.7,6547684,65476.84,40460.78,41859.73,
2022/4/15 16:00,40413.6,40734.9,39977.8,40073.3,3748163,37481.63,40362.18,41449.19,
2022/4/16 16:00,40073.3,40699,40010,40439.2,3417867,34178.67,40412.18,41159.68,
2022/4/17 16:00,40439.2,40470.9,38496,39256.2,8530328,85303.28,40033.54,40719.49,
2022/4/18 16:00,39256.2,41767.9,39019.7,41462.8,9252817,92528.17,40329.04,40628.04,
2022/4/19 16:00,41460.3,42216.8,41067,41274.2,7052658,70526.58,40501.14,40480.96,
2022/4/20 16:00,41273.8,42984.9,40850,42150.1,8515020,85150.2,40916.5,40639.34,
2022/4/21 16:00,42153.3,42192.6,39322.3,39437.1,11508877,115088.77,40716.08,40564.13,
2022/4/22 16:00,39437.1,39875,39131.6,39768.3,4916215,49162.15,40818.5,40426.02,
2022/4/23 16:00,39768.3,39974.6,39331.2,39656.6,4546126,45461.26,40457.26,40393.15,
2022/4/24 16:00,39660,39800,38166,38986.5,12532108,125321.08,39999.72,40250.43,
2022/4/25 16:00,38986.6,40830.3,38499.9,38550.2,11125975,111259.75,39279.74,40098.12,
2022/4/26 16:00,38550.2,39487.4,37682.8,39018.9,14452167,144521.67,39196.1,39956.09,
2022/4/27 16:00,39018.9,40437.6,38667.3,39452.9,10456760,104567.6,39133.02,39975.76,
2022/4/28 16:00,39449,40378,38618.5,39006.6,10089466,100894.66,39003.02,39730.14,
2022/4/29 16:00,39006.6,39072.1,38140.5,38464.4,5758015,57580.15,38898.6,39449.16,
2022/4/30 16:00,38464.4,38640,37367.2,38490.8,5843584,58435.84,38886.72,39083.23,
2022/5/1 16:00,38490.9,39239.9,37666,38698.6,9754485,97544.85,38822.66,39009.38,
2022/5/2 16:00,38698.6,38925.9,38041.6,38332.2,5588815,55888.15,38598.52,38865.77,
2022/5/3 16:00,38332.2,39180,37514,38986.1,8207324,82073.24,38594.42,38798.72,
2022/5/4 16:00,38986,40068,36270.1,36899.9,15090418,150904.18,38281.52,38590.06,
2022/5/5 16:00,36900,37333,35237.6,36000,16312371,163123.71,37783.36,38335.04,
2022/5/6 16:00,35999.9,36238,35705.1,35967.5,3951524,39515.24,37237.14,38029.9,
2022/5/7 16:00,35962.3,36006.1,34137,34363.7,11961167,119611.67,36443.44,37520.98,
2022/5/8 16:00,34370,34770,32050,32360,21957495,219574.95,35118.22,36856.32,
2022/5/9 16:00,32360.1,32666,29713,31317.8,33441969,334419.69,34001.8,36141.66,
2022/5/10 16:00,31326,32190,29014.6,30980.5,24524677,245246.77,32997.9,35390.63,
2022/5/11 16:00,30981.7,31131.6,26642.2,29030.4,30212144,302121.44,31610.48,34423.81,
2022/5/12 16:00,29034.9,31111,28011,30353,13651843,136518.43,30808.34,33625.89,
2022/5/13 16:00,30357.2,30534.9,28653.8,28816.4,8595490,85954.9,30099.62,32608.92,
2022/5/14 16:00,28815.9,30566,28614,30019.9,8740144,87401.44,29840.04,31920.92,
2022/5/15 16:00,30020,31494.7,29300,29673.3,12149481,121494.81,29578.6,31288.25,
2022/5/16 16:00,29673.3,30790,29040.4,30160,9450533,94505.33,29804.52,30707.5,
2022/5/17 16:00,30156.2,30718.7,28869,28986.5,10185616,101856.16,29531.22,30169.78,
2022/5/18 16:00,28984,30550,28641.5,30386.5,12524623,125246.23,29845.24,29972.43,
2022/5/19 16:00,30386.5,30777.8,29060,29156,12018889,120188.89,29672.46,29756.25,
2022/5/20 16:00,29153.1,29658.7,28707,29547.2,7140707,71407.07,29647.24,29612.92,
2022/5/21 16:00,29547.3,30330,29252.8,29854.6,6892474,68924.74,29586.16,29695.34,38842.155
2022/5/22 16:00,29854.6,30675,29742,30365,9479392,94793.92,29861.86,29696.54,38615.105
2022/5/23 16:00,30367.5,30535.1,28650,29396.8,11987499,119874.99,29663.92,29754.58,38366.05333
2022/5/24 16:00,29396.8,30238,29080,29622.2,11050393,110503.93,29757.16,29714.81,38122.92
2022/5/25 16:00,29622.2,30063,27959.9,29393.6,15225862,152258.62,29726.44,29686.84,37865.12167
2022/5/26 16:00,29393.3,29800,28608.3,28855,12872098,128720.98,29526.52,29556.34,37555.55667
2022/5/27 16:00,28855,29277.3,28268.1,28989,8268540,82685.4,29251.32,29556.59,37248.035
2022/5/28 16:00,28988.9,29511,28773.8,29214,5166297,51662.97,29214.76,29439.34,36948.70333
2022/5/29 16:00,29214,30986.1,29072.9,30637.5,11075933,110759.33,29417.82,29587.49,36685.01167
2022/5/30 16:00,30637.6,32385.6,30550,32052.6,12296789,122967.89,29949.62,29838.03,36443.66833
2022/5/31 16:00,32052.7,32450,30728.1,30757.1,10859421,108594.21,30330.04,29928.28,36184.595
2022/6/1 16:00,30753.7,30760,29302,30206.3,10912022,109120.22,30573.5,29912.41,35914.37667
2022/6/2 16:00,30206.4,30750,29253.5,29505,9546696,95466.96,30631.7,29923.23,35645.41
2022/6/3 16:00,29505.3,29995,29401,29852,4694484,46944.84,30474.6,29946.21,35380.36
2022/6/4 16:00,29850.7,29984.1,29505.3,29966.6,4035128,40351.28,30057.4,30003.51,35143.49167
2022/6/5 16:00,29966.6,31761.7,29755.4,31541.9,11303476,113034.76,30214.36,30272.2,34946.95167
2022/6/6 16:00,31542,31609,29206.5,29888.1,12837431,128374.31,30150.72,30362.11,34717.45167
2022/6/7 16:00,29890.3,31596.7,29743,30478.7,16128215,161282.15,30345.46,30488.58,34519.14167
2022/6/8 16:00,30476.1,30727.5,29908.8,30306.6,8291899,82918.99,30436.38,30455.49,34311.835
2022/6/9 16:00,30306.7,30463.6,29222,29452.2,9970351,99703.51,30333.5,30195.45,34126.6
2022/6/10 16:00,29452.5,29487.7,28240.7,28411.6,11258811,112588.11,29707.44,29960.9,33930.30667
2022/6/11 16:00,28415.6,28798,26874.1,28089.4,12695192,126951.92,29347.7,29749.21,33712.64
2022/6/12 16:00,28087.8,28241.9,22578.5,23270.8,39299985,392999.85,27906.12,29125.79,33434.065
2022/6/13 16:00,23275,24244.8,20827.4,22691.7,39716125,397161.25,26383.14,28409.76,33138.69833
2022/6/14 16:00,22689.4,22782.4,20080,21421.7,30722045,307220.45,24777.04,27555.27,32827.83833
2022/6/15 16:00,21421.8,23000,20231.6,21080.2,32733117,327331.17,23310.76,26509.1,32505.18833
2022/6/16 16:00,21080.1,21477.3,20210,20667.9,20006634,200066.34,21826.46,25587.08,32195.38333
2022/6/17 16:00,20667.9,20799.3,18704.1,18958.5,18621595,186215.95,20964,24435.06,31820.31167
2022/6/18 16:00,18956.4,20100,17580,19823.6,31974607,319746.07,20390.38,23386.76,31462.80167
2022/6/19 16:00,19823.6,21112.6,19368.8,20825,22585248,225852.48,20271.04,22524.04,31107.38333
2022/6/20 16:00,20825,21749.2,19835.2,21396.5,21341533,213415.33,20334.3,21822.53,30806.70667
2022/6/21 16:00,21396.5,21558,19958,20088.1,18366473,183664.73,20218.34,21022.4,30478.70333
2022/6/22 16:00,20088.8,20837.1,19755.4,20354.3,17648314,176483.14,20497.5,20730.75,30156.99833
2022/6/23 16:00,20354.3,21468.1,20164.8,20892.8,17413613,174136.13,20711.34,20550.86,29855.43667
2022/6/24 16:00,20888.2,21632,20790,20963.1,12131105,121311.05,20738.96,20505,29562.31833
2022/6/25 16:00,20963.1,21890,20920,21327.2,10356622,103566.22,20725.1,20529.7,29267.45667
2022/6/26 16:00,21326.2,21550,20588,20759,12006826,120068.26,20859.28,20538.81,28955.89167
2022/6/27 16:00,20757.1,21222,20419.7,20611.8,12869924,128699.24,20910.78,20704.14,28649.31167
2022/6/28 16:00,20611.7,20769.9,19850,20086.2,14851438,148514.38,20749.46,20730.4,28343.00833
2022/6/29 16:00,20086.9,20444,18725.9,19142.6,16797332,167973.32,20385.36,20562.16,28020.53833
2022/6/30 16:00,19142.7,20979,18598.9,19289,24425371,244253.71,19977.72,20351.41,27697.045
