,time,open,high,low,close,vol,volCcy,MA5,MA10,MA60
0,2022-06-30 16:00:00,19142.7,20979.0,18598.9,19289.0,24425371,244253.71,,,
1,2022-06-29 16:00:00,20086.9,20444.0,18725.9,19142.6,16797332,167973.32,,,
2,2022-06-28 16:00:00,20611.7,20769.9,19850.0,20086.2,14851438,148514.38,,,
3,2022-06-27 16:00:00,20757.1,21222.0,20419.7,20611.8,12869924,128699.24,,,
4,2022-06-26 16:00:00,21326.2,21550.0,20588.0,20759.0,12006826,120068.26,19977.72,,
5,2022-06-25 16:00:00,20963.1,21890.0,20920.0,21327.2,10356622,103566.22,20385.36,,
6,2022-06-24 16:00:00,20888.2,21632.0,20790.0,20963.1,12131105,121311.05,20749.46,,
7,2022-06-23 16:00:00,20354.3,21468.1,20164.8,20892.8,17413613,174136.13,20910.78,,
8,2022-06-22 16:00:00,20088.8,20837.1,19755.4,20354.3,17648314,176483.14,20859.280000000002,,
9,2022-06-21 16:00:00,21396.5,21558.0,19958.0,20088.1,18366473,183664.73,20725.1,20351.41,
10,2022-06-20 16:00:00,20825.0,21749.2,19835.2,21396.5,21341533,213415.33,20738.96,20562.16,
11,2022-06-19 16:00:00,19823.6,21112.6,19368.8,20825.0,22585248,225852.48,20711.34,20730.4,
12,2022-06-18 16:00:00,18956.4,20100.0,17580.0,19823.6,31974607,319746.07,20497.5,20704.14,
13,2022-06-17 16:00:00,20667.9,20799.3,18704.1,18958.5,18621595,186215.95,20218.34,20538.809999999998,
14,2022-06-16 16:00:00,21080.1,21477.3,20210.0,20667.9,20006634,200066.34,20334.3,20529.7,
15,2022-06-15 16:00:00,21421.8,23000.0,20231.6,21080.2,32733117,327331.17,20271.04,20505.0,
16,2022-06-14 16:00:00,22689.4,22782.4,20080.0,21421.7,30722045,307220.45,20390.38,20550.86,
17,2022-06-13 16:00:00,23275.0,24244.8,20827.4,22691.7,39716125,397161.25,20964.0,20730.75,
18,2022-06-12 16:00:00,28087.8,28241.9,22578.5,23270.8,39299985,392999.85,21826.46,21022.4,
